"Section","Question","Answer"
"UNIVERSITY","Who are the founders of Karunya Institute of Technology and Sciences?","The Institution is the fulfillment of the vision of its founders Late Dr. D. G. S. Dhinakaran and the present Chancellor Dr. Paul Dhinakaran."
"UNIVERSITY","When was Karunya Institute of Technology and Sciences established and briefly give the growth from an Engineering College to a Deemed to be University?","Established in 1986 as an Engineering College, it was granted an autonomous status in 1999 and declared Deemed-to-be University by the University Grants Commission (UGC) in recognition of its academic excellence by the Ministry of Human Resources Development under section 3 of the UGC Act, 1956 in the year 2004."
"UNIVERSITY","Where is Karunya Institute of Technology and Sciences located?","Karunya Institute of Technology and Sciences is located on the Western side of Coimbatore City, Tamil Nadu State, South India surrounded by mountain ranges and lush green plains. The Campus is around 26 kms from Coimbatore International Airport."
"UNIVERSITY","What are the main types of Universities in India?","All institutions for higher education in India come under the purview of University. There are four main types of Universities in India: Central universities, State universities, Deemed universities, Private universities."
"APPROVALS & ACCREDITATIONS","Is the University MHRD / UGC / AICTE approved?","Yes"
"APPROVALS & ACCREDITATIONS","Has the Institution been accredited by Government of India / Indian Accrediting Agencies / International Accrediting Agencies?","Yes, the Institution is accredited by Government of India, Indian Accrediting Agencies and International Accrediting Agencies. The summary of the same is as below: MHRD, Govt. of India has granted approval for Deemed to be University status from 2004; UGC approval for all UG, PG and PhD Programs; NAAC Accredited Institution; AICTE has granted approval for all B. Tech., M. Tech., and MBA programs; NBA accredited Programs; NIRF Ranked Institution; ACCA (UK) accredited MBA and Commerce Programs; QS Star Rating - 5 star rating for Facilities, 5 star for inclusiveness and 4 star for Teaching; QS I-Gauge E-Learning - KITS was awarded with 'Excellence for Academic Digitization.'"
"ADMISSIONS","What are the UG programs offered by KITS?","The following are the UG programs offered by KITS: B. Tech. Programs: Aerospace Engineering (Department of Aerospace Engineering), Artificial Intelligence and Data Science (Department of Computer Science and Engineering), Biomedical Engineering (Department of Biomedical Engineering), Biotechnology (Department of Biotechnology), Civil Engineering (Department of Civil Engineering), Computer Engineering (Department of Computer Science and Engineering), Computer Science & Engineering (Department of Computer Science and Engineering), Computer Science & Engineering (Artificial Intelligence) (Department of Computer Science and Engineering), Computer Science & Engineering (Specialization in Artificial Intelligence) (Department of Computer Science and Engineering), Computer Science & Engineering (Specialization in Data Analytics) (Department of Computer Science and Engineering), Computer Science & Engineering (Specialization in Artificial Intelligence & Machine Learning) (Department of Computer Science and Engineering), Electronics and Computer Engineering (Department of Electronics and Communication Engineering), Electronics and Communications Engineering (Department of Electronics and Communication Engineering), Food Processing and Engineering (Department of Food Processing Technology), Mechanical Engineering (Department of Mechanical Engineering), Robotics and Automation (Department of Robotics Engineering). B. Sc. Programs: Automobile Mechanics (Department of Mechanical Engineering), Computer Science (Department of Computer Science and Engineering), Data Science and Analytics (Department of Digital Sciences), Chemistry (Department of Applied Chemistry), Food Science and Nutrition (Department of Food Processing), Forensic Science (Department of Civil Engineering), Interior Design (Department of Design), Genetics and Microbiology (Department of Biotechnology), Agriculture (Hons.) (Department of Agriculture), Horticulture (Hons.) (Department of Agriculture), Optometry (Department of Applied Chemistry), Physics (Department of Applied Chemistry), Mathematics (Department of Mathematics), Fashion Design (Department of Design), Information Security and Digital Forensics (Department of Digital Sciences), Visual Communication (Department of Media and Communication), Biomedical Science (Department of Biomedical Engineering), Nanoscience (Centre for Nanoscience and Genetics), Renewable Energy (Department of Electrical Engineering), Applied Physics (Department of Applied Physics), Artificial Intelligence (Department of Robotics Engineering), Media and Film (Department of Media and Communication), Electrical and Electronics Engineering (Department of Electrical and Electronics Engineering). Other UG Programs: Bachelor of Design (4 Years) (Department of Design), B.A. Criminology (Department of Criminology), B.B.A (Department of Commerce), B.Com. (Department of Commerce), B.Com. (Spl in Banking and Capital Markets) (Department of Commerce), B.Com. (Spl in Financial Technologies) (Department of Commerce), B.P.T (Bachelor of Physiotherapy) - 4 years (Department of Health Sciences)."
"ADMISSIONS","What are the PG programs offered by KITS?","The following are the PG programs offered by KITS: M. Tech. Programs: Advanced Manufacturing Technology (Department of Mechanical Engineering), Aerospace Engineering (Department of Aerospace Engineering), Artificial Intelligence and Data Science (Department of Computer Science and Engineering), Biomedical Instrumentation (Department of Biomedical Engineering), Biotechnology (Department of Biotechnology), Communication Systems (Department of Electronics and Communication Engineering), Computer Science and Engineering (Department of Computer Science and Engineering), Cyber Security (Department of Computer Science and Engineering), Environment and Water Resources Engineering (Department of Civil Engineering), Food Processing Engineering (Department of Food Processing Technology), Robotics & Automation (Department of Robotics Engineering), Structural Engineering (Department of Civil Engineering), VLSI Design (Department of Electronics and Communication Engineering). Other PG Programs: M.A. Media & Communication (Department of Media and Communication), M.A. Victimology (Department of Criminology), M.B.A. (Department of Management Studies)."
"ADMISSIONS","What are the courses which are of high demand in Karunya?","All the Programs offered by Karunya are of high demand and the University offers wide variety of high quality Industry relevant job oriented programs in Engineering, Agriculture, Biosciences, Management, Criminology, Data Science, Media, Design, Commerce, Health Sciences, Nanoscience, Forensic Science, Optometry and Basic Sciences. The student can choose any program as per his desire and passion."
"ADMISSIONS","Why programs in Karunya are unique compared to other Colleges / Universities?","Highly competent internationally repute, industry certified Faculty - Karunya has high quality Faculty with PhD and Post-Doctoral qualifications from Institutions of National repute from India and abroad and are Industry certified. Our Faculty are passionate in teaching, research and mentoring the students towards career advancement and always go an extra mile to help the students achieve their academic and professional goal. Industry Driven Latest Syllabus - All the syllabus of Karunya Programs are industry driven and are updated periodically to match the Industry requirements. The syllabi are framed jointly with industry experts and Academicians of high repute. The Faculty members are periodically trained on the latest skills prevailing in the Industry. State-of-art Infrastructure and Laboratories - Karunya has state-of-art infrastructure and with all sophisticated and modern equipments. These equipments are of industry standard. The students are given hands-on training to operate / trouble shoot these equipments. Industry Oriented Centres of excellence / Research Centres - All Departments have atleast two Centres of Excellence / Research Centres created jointly with the Industry / Research Organizations as collaborators or partners. These centres provide additional industry oriented training and live Industry Projects for the students. The details are available in department website. Strong Industry tie up - All Departments have excellent industry tie-up which facilitates Mentoring by Industry Experts leading to live Projects, Internships and Placement opportunities for Students. Excellent Placement Opportunities with high Salary - The University facilitates excellent placement opportunities with high salary for students. The highest salary offer obtained by student was Rs. 30 lakhs per annum. The University provides systematic training towards placement from second year onwards. The systematic training includes, aptitude training, soft skills training, technical training and mock interviews. Industry Internships - The Industry Internships are mandatory for all the students. These internships provide an excellent platform for the students to understand industry problems, work on live projects and evolve technological solutions in collaborations with Industry experts. This enables our students to be Industry-ready, when they graduate. The University provides a platform for our students to pursue their internships in Industries / Institutions at around 40 different countries such as United States, Canada, United Kingdom, Norway, Poland, Israel, etc. with an attractive stipend (Highest stipend of INR 1.42 lakhs per month during his internship in Norway) during the period of internship. Attractive Scholarships - The University provides Scholarships to the tune of Rs. 5 Crores every year to meritorious students. The details of the Scholarships are given in https://admissions.karunya.edu/scholarships. Wide Variety of Extra-curricular activities - The Students have a wide variety of extra-curricular club activities and they can choose the activities which are passionate for them: Sports and Games, National Service Scheme (N.S.S.), National Cadet Corps (N.C.C.), Rotaract Club, Youth Red Cross Unit, Red Ribbon Unit, Nature Club, Karunya Arts and Literary Association (KALA), Journalism Club, Music Club, Photography and Videography Club, Karunya Outreach Club. Karunya culture and ambience - Karunya has a unique culture and perfect ambience for learning. The sprawling beautiful lush green campus blended with nature, tastiest water, fresh and clean air, breathtaking views of mountains surrounded by clouds makes Karunya a perfect conducive ambience for learning. Safety and Security - Karunya is a safe and secure place for all students and stakeholders. The entire campus is protected by strong boundary walls, CC TV Cameras and skilled Security Personnel. The Karunya Nagar Police Station is just 500 m away from the University / Residential Campus making it highly secure as the Police Personnel are involved in periodical patrol. The entry to Hostel Campus is bio-metric enabled thereby preventing any unauthorized entry into the secured campus. Research & Development - Karunya has an excellent research ambience. All Karunya Faculty members are engaged in R&D activities and publish their research articles in National and International Journals, obtain research grants from Government and Other Funding agencies such as DST, DRDO, DBT, NTRF, BRNS, BRFST, ISRO and NRB. During the past 3 years, the Faculty members of the University have received an overall research funding to the tune of Rs. 34 Crores from these funding agencies. Innovations and product development - Karunya has an excellent eco-system that facilitates innovations, entrepreneurship and product development. Karunya has established Karunya Innovation and Design Studio at Computer Technology Centre to facilitate innovations and product development. Each department has an Entrepreneur cell and interested students can register in this Cell. The Entrepreneur Cell provides training to the Students in developing entrepreneurial skills and facilitates students to develop business proposals, company formation and registration. The Cell also assists the Students in connecting with Angel Investors for seed funding through Karunya Alumni Business Network. Each Student is trained to develop a product by the end of their academic program. The University has an IPR Cell (Intellectual Property Rights Cell), which facilitates securing the idea / developed product as a Patent."
